teamName,jerseyNumber,name,position,dateOfBirth,height,club,nationality,role
Argentina,,Lionel Scaloni,COACH,1978-05-16,,,Argentine,Head Coach
Argentina,10,Lionel Messi,FWD,1987-06-24,170,Inter Miami,Argentine,
Argentina,1,Emiliano Martinez,GK,1992-09-02,195,Aston Villa,Argentine,
Argentina,4,Gonzalo Montiel,DEF,1997-01-01,176,Sevilla,Argentine,
Argentina,5,Leandro Paredes,MID,1994-06-29,180,Roma,Argentine,
Brazil,,Dorival Junior,COACH,1962-04-25,,,Brazilian,Head Coach
Brazil,10,Neymar Jr,FWD,1992-02-05,175,Al-Hilal,Brazilian,
Brazil,1,Alisson Becker,GK,1992-10-02,191,Liverpool,Brazilian,
Brazil,4,Marquinhos,DEF,1994-05-14,183,PSG,Brazilian,
Brazil,5,Casemiro,MID,1992-02-23,185,Manchester United,Brazilian,
